都道府県,市区町村,人数
北海道,101 札幌市中央区,"9,265"
北海道,102 札幌市北区,"14,470"
北海道,103 札幌市東区,"12,035"
北海道,104 札幌市白石区,"8,874"
北海道,105 札幌市豊平区,"9,616"
北海道,106 札幌市南区,"6,123"
北海道,107 札幌市西区,"9,970"
北海道,108 札幌市厚別区,"6,085"
北海道,109 札幌市手稲区,"7,122"
北海道,110 札幌市清田区,"6,716"
北海道,202 函館市,"11,864"
北海道,203 小樽市,"5,098"
北海道,204 旭川市,"16,818"
北海道,205 室蘭市,"4,152"
北海道,206 釧路市,"8,823"
北海道,207 帯広市,"8,253"
北海道,208 北見市,"5,862"
北海道,209 夕張市,242
北海道,210 岩見沢市,"4,015"
北海道,211 網走市,"1,945"
北海道,212 留萌市,"1,019"
北海道,213 苫小牧市,"9,429"
北海道,214 稚内市,"1,858"
北海道,215 美唄市,929
北海道,216 芦別市,531
北海道,217 江別市,"6,065"
北海道,218 赤平市,414
北海道,219 紋別市,"1,060"
北海道,220 士別市,969
北海道,221 名寄市,"1,464"
北海道,222 三笠市,318
北海道,223 根室市,"1,402"
北海道,224 千歳市,"5,560"
北海道,225 滝川市,"1,935"
北海道,226 砂川市,858
北海道,227 歌志内市,134
北海道,228 深川市,877
北海道,229 富良野市,"1,217"
北海道,230 登別市,"2,446"
北海道,231 恵庭市,"3,910"
北海道,233 伊達市,"1,746"
北海道,234 北広島市,"3,393"
北海道,235 石狩市,"3,472"
北海道,236 北斗市,"2,859"
北海道,303 当別町,813
北海道,304 新篠津村,162
北海道,331 松前町,282
北海道,332 福島町,160
北海道,333 知内町,235
北海道,334 木古内町,144
北海道,337 七飯町,"1,407"
北海道,343 鹿部町,181
北海道,345 森町,881
北海道,346 八雲町,868
北海道,347 長万部町,210
北海道,361 江差町,396
北海道,362 上ノ国町,249
北海道,363 厚沢部町,186
北海道,364 乙部町,201
北海道,367 奥尻町,123
北海道,370 今金町,247
北海道,371 せたな町,359
北海道,391 島牧村,62
北海道,392 寿都町,125
北海道,393 黒松内町,144
北海道,394 蘭越町,244
北海道,395 ニセコ町,219
北海道,396 真狩村,93
北海道,397 留寿都村,101
北海道,398 喜茂別町,102
北海道,399 京極町,170
北海道,400 倶知安町,841
北海道,401 共和町,297
北海道,402 岩内町,633
北海道,403 泊村,92
北海道,404 神恵内村,33
北海道,405 積丹町,84
北海道,406 古平町,98
北海道,407 仁木町,141
北海道,408 余市町,873
北海道,409 赤井川村,65
北海道,423 南幌町,327
北海道,424 奈井江町,253
北海道,425 上砂川町,124
北海道,427 由仁町,254
北海道,428 長沼町,499
北海道,429 栗山町,556
北海道,430 月形町,117
北海道,431 浦臼町,80
北海道,432 新十津川町,351
北海道,433 妹背牛町,116
北海道,434 秩父別町,85
北海道,436 雨竜町,120
北海道,437 北竜町,78
北海道,438 沼田町,135
北海道,452 鷹栖町,502
北海道,453 東神楽町,692
北海道,454 当麻町,330
北海道,455 比布町,155
北海道,456 愛別町,130
北海道,457 上川町,172
北海道,458 東川町,455
北海道,459 美瑛町,485
北海道,460 上富良野町,630
北海道,461 中富良野町,308
北海道,462 南富良野町,122
北海道,463 占冠村,48
北海道,464 和寒町,164
北海道,465 剣淵町,167
北海道,468 下川町,169
北海道,469 美深町,175
北海道,470 音威子府村,17
北海道,471 中川町,70
北海道,472 幌加内町,75
北海道,481 増毛町,202
北海道,482 小平町,136
北海道,483 苫前町,152
北海道,484 羽幌町,338
北海道,485 初山別村,51
北海道,486 遠別町,133
北海道,487 天塩町,156
北海道,511 猿払村,185
北海道,512 浜頓別町,203
北海道,513 中頓別町,77
北海道,514 枝幸町,469
北海道,516 豊富町,203
北海道,517 礼文町,120
北海道,518 利尻町,105
北海道,519 利尻富士町,138
北海道,520 幌延町,136
北海道,543 美幌町,"1,033"
北海道,544 津別町,187
北海道,545 斜里町,574
北海道,546 清里町,209
北海道,547 小清水町,241
北海道,549 訓子府町,264
北海道,550 置戸町,128
北海道,552 佐呂間町,257
北海道,555 遠軽町,"1,056"
北海道,559 湧別町,485
北海道,560 滝上町,99
北海道,561 興部町,201
北海道,562 西興部村,46
北海道,563 雄武町,215
北海道,564 大空町,397
北海道,571 豊浦町,202
北海道,575 壮瞥町,132
北海道,578 白老町,729
北海道,581 厚真町,213
北海道,584 洞爺湖町,395
北海道,585 安平町,397
北海道,586 むかわ町,386
北海道,601 日高町,651
北海道,602 平取町,259
北海道,604 新冠町,322
北海道,607 浦河町,662
北海道,608 様似町,209
北海道,609 えりも町,293
北海道,610 新ひだか町,"1,182"
北海道,631 音更町,"2,948"
北海道,632 士幌町,374
北海道,633 上士幌町,252
北海道,634 鹿追町,341
北海道,635 新得町,280
北海道,636 清水町,468
北海道,637 芽室町,"1,288"
北海道,638 中札内村,192
北海道,639 更別村,184
北海道,641 大樹町,274
北海道,642 広尾町,366
北海道,643 幕別町,"1,544"
北海道,644 池田町,315
北海道,645 豊頃町,163
北海道,646 本別町,340
北海道,647 足寄町,365
北海道,648 陸別町,92
北海道,649 浦幌町,206
北海道,661 釧路町,"1,085"
北海道,662 厚岸町,484
北海道,663 浜中町,354
北海道,664 標茶町,429
北海道,665 弟子屈町,365
北海道,667 鶴居村,153
北海道,668 白糠町,350
北海道,691 別海町,"1,011"
北海道,692 中標津町,"1,590"
北海道,693 標津町,325
北海道,694 羅臼町,309
青森県,201 青森市,"15,084"
青森県,202 弘前市,"8,699"
青森県,203 八戸市,"12,514"
青森県,204 黒石市,"1,769"
青森県,205 五所川原市,"2,863"
青森県,206 十和田市,"3,325"
青森県,207 三沢市,"2,498"
青森県,208 むつ市,"3,200"
青森県,209 つがる市,"1,632"
青森県,210 平川市,"1,591"
青森県,301 平内町,471
青森県,303 今別町,81
青森県,304 蓬田村,131
青森県,307 外ヶ浜町,219
青森県,321 鰺ヶ沢町,382
青森県,323 深浦町,345
青森県,343 西目屋村,47
青森県,361 藤崎町,779
青森県,362 大鰐町,410
青森県,367 田舎館村,364
青森県,381 板柳町,679
青森県,384 鶴田町,687
青森県,387 中泊町,468
青森県,401 野辺地町,652
青森県,402 七戸町,710
青森県,405 六戸町,549
青森県,406 横浜町,220
青森県,408 東北町,921
青森県,411 六ヶ所村,565
青森県,412 おいらせ町,"1,516"
青森県,423 大間町,303
青森県,424 東通村,317
青森県,425 風間浦村,89
青森県,426 佐井村,101
青森県,441 三戸町,477
青森県,442 五戸町,766
青森県,443 田子町,265
青森県,445 南部町,910
青森県,446 階上町,700
青森県,450 新郷村,95
岩手県,201 盛岡市,"15,870"
岩手県,202 宮古市,"2,664"
岩手県,203 大船渡市,"1,739"
岩手県,205 花巻市,"5,173"
岩手県,206 北上市,"5,517"
岩手県,207 久慈市,"1,976"
岩手県,208 遠野市,"1,346"
岩手県,209 一関市,"6,208"
岩手県,210 陸前高田市,933
岩手県,211 釜石市,"1,570"
岩手県,213 二戸市,"1,420"
岩手県,214 八幡平市,"1,163"
岩手県,215 奥州市,"6,269"
岩手県,301 雫石町,809
岩手県,302 葛巻町,219
岩手県,303 岩手町,681
岩手県,305 滝沢村,"3,289"
岩手県,321 紫波町,"1,898"
岩手県,322 矢巾町,"1,550"
岩手県,366 西和賀町,225
岩手県,381 金ケ崎町,897
岩手県,402 平泉町,392
岩手県,441 住田町,226
岩手県,461 大槌町,532
岩手県,482 山田町,773
岩手県,483 岩泉町,440
岩手県,484 田野畑村,161
岩手県,485 普代村,111
岩手県,501 軽米町,431
岩手県,503 野田村,193
岩手県,506 九戸村,294
岩手県,507 洋野町,821
岩手県,524 一戸町,538
宮城県,101 仙台市青葉区,"14,056"
宮城県,102 仙台市宮城野区,"9,503"
宮城県,103 仙台市若林区,"6,827"
宮城県,104 仙台市太白区,"11,990"
宮城県,105 仙台市泉区,"12,167"
宮城県,202 石巻市,"7,458"
宮城県,203 塩竈市,"2,557"
宮城県,205 気仙沼市,"3,137"
宮城県,206 白石市,"1,780"
宮城県,207 名取市,"4,608"
宮城県,208 角田市,"1,566"
宮城県,209 多賀城市,"3,567"
宮城県,211 岩沼市,"2,770"
宮城県,212 登米市,"4,266"
宮城県,213 栗原市,"3,326"
宮城県,214 東松島市,"2,338"
宮城県,215 大崎市,"7,316"
宮城県,301 蔵王町,623
宮城県,302 七ヶ宿町,55
宮城県,321 大河原町,"1,367"
宮城県,322 村田町,509
宮城県,323 柴田町,"2,023"
宮城県,324 川崎町,413
宮城県,341 丸森町,647
宮城県,361 亘理町,"1,831"
宮城県,362 山元町,554
宮城県,401 松島町,612
宮城県,404 七ヶ浜町,"1,109"
宮城県,406 利府町,"2,359"
宮城県,421 大和町,"1,569"
宮城県,422 大郷町,406
宮城県,423 富谷町,"4,184"
宮城県,424 大衡村,334
宮城県,444 色麻町,432
宮城県,445 加美町,"1,219"
宮城県,501 涌谷町,831
宮城県,505 美里町,"1,210"
宮城県,581 女川町,282
宮城県,606 南三陸町,646
秋田県,201 秋田市,"15,643"
秋田県,202 能代市,"2,567"
秋田県,203 横手市,"4,442"
秋田県,204 大館市,"3,479"
秋田県,206 男鹿市,"1,073"
秋田県,207 湯沢市,"2,087"
秋田県,209 鹿角市,"1,515"
秋田県,210 由利本荘市,"3,754"
秋田県,211 潟上市,"1,712"
秋田県,212 大仙市,"3,831"
秋田県,213 北秋田市,"1,315"
秋田県,214 にかほ市,"1,348"
秋田県,215 仙北市,"1,273"
秋田県,303 小坂町,244
秋田県,327 上小阿仁村,68
秋田県,346 藤里町,122
秋田県,348 三種町,685
秋田県,349 八峰町,297
秋田県,361 五城目町,342
秋田県,363 八郎潟町,287
秋田県,366 井川町,236
秋田県,368 大潟村,196
秋田県,434 美郷町,958
秋田県,463 羽後町,654
秋田県,464 東成瀬村,121
山形県,201 山形市,"13,715"
山形県,202 米沢市,"4,700"
山形県,203 鶴岡市,"6,755"
山形県,204 酒田市,"5,457"
山形県,205 新庄市,"2,103"
山形県,206 寒河江市,"2,393"
山形県,207 上山市,"1,500"
山形県,208 村山市,"1,256"
山形県,209 長井市,"1,413"
山形県,210 天童市,"3,360"
山形県,211 東根市,"2,800"
山形県,212 尾花沢市,863
山形県,213 南陽市,"1,703"
山形県,301 山辺町,797
山形県,302 中山町,597
山形県,321 河北町,993
山形県,322 西川町,270
山形県,323 朝日町,315
山形県,324 大江町,394
山形県,341 大石田町,400
山形県,361 金山町,315
山形県,362 最上町,459
山形県,363 舟形町,265
山形県,364 真室川町,399
山形県,365 大蔵村,166
山形県,366 鮭川村,206
山形県,367 戸沢村,216
山形県,381 高畠町,"1,342"
山形県,382 川西町,778
山形県,401 小国町,384
山形県,402 白鷹町,708
山形県,403 飯豊町,356
山形県,426 三川町,430
山形県,428 庄内町,"1,123"
山形県,461 遊佐町,664
福島県,201 福島市,"14,781"
福島県,202 会津若松市,"6,922"
福島県,203 郡山市,"17,767"
福島県,204 いわき市,"18,468"
福島県,205 白河市,"3,674"
福島県,207 須賀川市,"4,579"
福島県,208 喜多方市,"2,596"
福島県,209 相馬市,"2,036"
福島県,210 二本松市,"2,997"
福島県,211 田村市,"1,963"
福島県,212 南相馬市,"2,037"
福島県,213 伊達市,"3,137"
福島県,214 本宮市,"1,838"
福島県,301 桑折町,604
福島県,303 国見町,473
福島県,308 川俣町,664
福島県,322 大玉村,488
福島県,342 鏡石町,766
福島県,344 天栄村,320
福島県,362 下郷町,290
福島県,364 檜枝岐村,33
福島県,367 只見町,215
福島県,368 南会津町,781
福島県,402 北塩原村,166
福島県,405 西会津町,250
福島県,407 磐梯町,189
福島県,408 猪苗代町,741
福島県,421 会津坂下町,923
福島県,422 湯川村,201
福島県,423 柳津町,165
福島県,444 三島町,56
福島県,445 金山町,55
福島県,446 昭和村,39
福島県,447 会津美里町,"1,066"
福島県,461 西郷村,"1,145"
福島県,464 泉崎村,381
福島県,465 中島村,311
福島県,466 矢吹町,949
福島県,481 棚倉町,856
福島県,482 矢祭町,275
福島県,483 塙町,449
福島県,484 鮫川村,195
福島県,501 石川町,778
福島県,502 玉川村,417
福島県,503 平田村,342
福島県,504 浅川町,420
福島県,505 古殿町,282
福島県,521 三春町,844
福島県,522 小野町,538
福島県,541 広野町,69
福島県,542 楢葉町,88
福島県,543 富岡町,31
福島県,544 川内村,24
福島県,545 大熊町,178
福島県,546 双葉町,-
福島県,547 浪江町,17
福島県,548 葛尾村,14
福島県,561 新地町,490
福島県,564 飯舘村,206
茨城県,201 水戸市,"14,915"
茨城県,202 日立市,"10,109"
茨城県,203 土浦市,"7,635"
茨城県,204 古河市,"7,532"
茨城県,205 石岡市,"3,989"
茨城県,207 結城市,"2,802"
茨城県,208 龍ケ崎市,"4,345"
茨城県,210 下妻市,"2,509"
茨城県,211 常総市,"3,494"
茨城県,212 常陸太田市,"2,436"
茨城県,214 高萩市,"1,480"
茨城県,215 北茨城市,"2,251"
茨城県,216 笠間市,"4,085"
茨城県,217 取手市,"4,983"
茨城県,219 牛久市,"4,519"
茨城県,220 つくば市,"13,047"
茨城県,221 ひたちなか市,"9,331"
茨城県,222 鹿嶋市,"3,573"
茨城県,223 潮来市,"1,515"
茨城県,224 守谷市,"4,162"
茨城県,225 常陸大宮市,"2,100"
茨城県,226 那珂市,"2,929"
茨城県,227 筑西市,"5,705"
茨城県,228 坂東市,"3,113"
茨城県,229 稲敷市,"2,014"
茨城県,230 かすみがうら市,"2,372"
茨城県,231 桜川市,"2,304"
茨城県,232 神栖市,"5,652"
茨城県,233 行方市,"1,756"
茨城県,234 鉾田市,"2,437"
茨城県,235 つくばみらい市,"2,405"
茨城県,236 小美玉市,"2,925"
茨城県,302 茨城町,"1,680"
茨城県,309 大洗町,882
茨城県,310 城里町,971
茨城県,341 東海村,"2,546"
茨城県,364 大子町,697
茨城県,442 美浦村,847
茨城県,443 阿見町,"2,584"
茨城県,447 河内町,402
茨城県,521 八千代町,"1,304"
茨城県,542 五霞町,412
茨城県,546 境町,"1,421"
茨城県,564 利根町,723
栃木県,201 宇都宮市,"29,273"
栃木県,202 足利市,"7,925"
栃木県,203 栃木市,"7,549"
栃木県,204 佐野市,"6,187"
栃木県,205 鹿沼市,"5,420"
栃木県,206 日光市,"3,997"
栃木県,208 小山市,"9,236"
栃木県,209 真岡市,"4,713"
栃木県,210 大田原市,"3,938"
栃木県,211 矢板市,"1,859"
栃木県,213 那須塩原市,"6,716"
栃木県,214 さくら市,"2,655"
栃木県,215 那須烏山市,"1,334"
栃木県,216 下野市,"3,498"
栃木県,301 上三川町,"2,103"
栃木県,342 益子町,"1,278"
栃木県,343 茂木町,608
栃木県,344 市貝町,616
栃木県,345 芳賀町,935
栃木県,361 壬生町,"2,189"
栃木県,364 野木町,"1,239"
栃木県,367 岩舟町,812
栃木県,384 塩谷町,545
栃木県,386 高根沢町,"1,598"
栃木県,407 那須町,"1,183"
栃木県,411 那珂川町,729
群馬県,201 前橋市,"18,301"
群馬県,202 高崎市,"20,785"
群馬県,203 桐生市,"5,529"
群馬県,204 伊勢崎市,"12,663"
群馬県,205 太田市,"13,676"
群馬県,206 沼田市,"2,741"
群馬県,207 館林市,"4,344"
群馬県,208 渋川市,"3,945"
群馬県,209 藤岡市,"3,670"
群馬県,210 富岡市,"2,734"
群馬県,211 安中市,"2,959"
群馬県,212 みどり市,"3,061"
群馬県,344 榛東村,871
群馬県,345 吉岡町,"1,348"
群馬県,366 上野村,54
群馬県,367 神流町,44
群馬県,382 下仁田町,261
群馬県,383 南牧村,38
群馬県,384 甘楽町,674
群馬県,421 中之条町,791
群馬県,424 長野原町,309
群馬県,425 嬬恋村,477
群馬県,426 草津町,302
群馬県,428 高山村,204
群馬県,429 東吾妻町,633
群馬県,443 片品村,214
群馬県,444 川場村,196
群馬県,448 昭和村,426
群馬県,449 みなかみ町,864
群馬県,464 玉村町,"2,031"
群馬県,521 板倉町,755
群馬県,522 明和町,608
群馬県,523 千代田町,640
群馬県,524 大泉町,"2,054"
群馬県,525 邑楽町,"1,516"
埼玉県,101 さいたま市西区,"4,826"
埼玉県,102 さいたま市北区,"8,278"
埼玉県,103 さいたま市大宮区,"5,815"
埼玉県,104 さいたま市見沼区,"8,040"
埼玉県,105 さいたま市中央区,"5,189"
埼玉県,106 さいたま市桜区,"4,741"
埼玉県,107 さいたま市浦和区,"8,988"
埼玉県,108 さいたま市南区,"9,316"
埼玉県,109 さいたま市緑区,"6,746"
埼玉県,110 さいたま市岩槻区,"6,383"
埼玉県,201 川越市,"18,297"
埼玉県,202 熊谷市,"10,223"
埼玉県,203 川口市,"30,034"
埼玉県,206 行田市,"4,254"
埼玉県,207 秩父市,"3,408"
埼玉県,208 所沢市,"17,068"
埼玉県,209 飯能市,"3,795"
埼玉県,210 加須市,"5,881"
埼玉県,211 本庄市,"4,121"
埼玉県,212 東松山市,"4,410"
埼玉県,214 春日部市,"11,565"
埼玉県,215 狭山市,"7,793"
埼玉県,216 羽生市,"2,908"
埼玉県,217 鴻巣市,"6,007"
埼玉県,218 深谷市,"8,097"
埼玉県,219 上尾市,"12,238"
埼玉県,221 草加市,"13,412"
埼玉県,222 越谷市,"17,790"
埼玉県,223 蕨市,"2,902"
埼玉県,224 戸田市,"7,466"
埼玉県,225 入間市,"8,038"
埼玉県,227 朝霞市,"7,123"
埼玉県,228 志木市,"3,805"
埼玉県,229 和光市,"4,134"
埼玉県,230 新座市,"8,682"
埼玉県,231 桶川市,"3,937"
埼玉県,232 久喜市,"7,509"
埼玉県,233 北本市,"3,506"
埼玉県,234 八潮市,"4,571"
埼玉県,235 富士見市,"5,767"
埼玉県,237 三郷市,"6,783"
埼玉県,238 蓮田市,"3,061"
埼玉県,239 坂戸市,"5,568"
埼玉県,240 幸手市,"2,402"
埼玉県,241 鶴ヶ島市,"3,993"
埼玉県,242 日高市,"3,226"
埼玉県,243 吉川市,"4,382"
埼玉県,245 ふじみ野市,"5,976"
埼玉県,246 白岡市,"2,692"
埼玉県,301 伊奈町,"3,248"
埼玉県,324 三芳町,"2,318"
埼玉県,326 毛呂山町,"1,727"
埼玉県,327 越生町,565
埼玉県,341 滑川町,"1,197"
埼玉県,342 嵐山町,859
埼玉県,343 小川町,"1,291"
埼玉県,346 川島町,"1,061"
埼玉県,347 吉見町,888
埼玉県,348 鳩山町,579
埼玉県,349 ときがわ町,475
埼玉県,361 横瀬町,468
埼玉県,362 皆野町,484
埼玉県,363 長瀞町,395
埼玉県,365 小鹿野町,634
埼玉県,369 東秩父村,116
埼玉県,381 美里町,567
埼玉県,383 神川町,701
埼玉県,385 上里町,"1,944"
埼玉県,408 寄居町,"1,663"
埼玉県,442 宮代町,"1,477"
埼玉県,464 杉戸町,"2,401"
埼玉県,465 松伏町,"1,816"
千葉県,101 千葉市中央区,"9,278"
千葉県,102 千葉市花見川区,"8,973"
千葉県,103 千葉市稲毛区,"9,597"
千葉県,104 千葉市若葉区,"6,750"
千葉県,105 千葉市緑区,"8,211"
千葉県,106 千葉市美浜区,"9,154"
千葉県,202 銚子市,"2,732"
千葉県,203 市川市,"24,351"
千葉県,204 船橋市,"33,098"
千葉県,205 館山市,"2,268"
千葉県,206 木更津市,"7,556"
千葉県,207 松戸市,"24,561"
千葉県,208 野田市,"8,475"
千葉県,210 茂原市,"4,348"
千葉県,211 成田市,"7,368"
千葉県,212 佐倉市,"8,755"
千葉県,213 東金市,"2,923"
千葉県,215 旭市,"3,550"
千葉県,216 習志野市,"8,887"
千葉県,217 柏市,"21,443"
千葉県,218 勝浦市,661
千葉県,219 市原市,"14,395"
千葉県,220 流山市,"9,004"
千葉県,221 八千代市,"11,606"
千葉県,222 我孫子市,"7,153"
千葉県,223 鴨川市,"1,564"
千葉県,224 鎌ケ谷市,"5,688"
千葉県,225 君津市,"4,180"
千葉県,226 富津市,"1,948"
千葉県,227 浦安市,"10,564"
千葉県,228 四街道市,"4,939"
千葉県,229 袖ケ浦市,"3,381"
千葉県,230 八街市,"3,656"
千葉県,231 印西市,"5,381"
千葉県,232 白井市,"4,170"
千葉県,233 富里市,"2,458"
千葉県,234 南房総市,"1,650"
千葉県,235 匝瑳市,"1,794"
千葉県,236 香取市,"3,713"
千葉県,237 山武市,"2,401"
千葉県,238 いすみ市,"1,586"
千葉県,239 大網白里市,"2,487"
千葉県,322 酒々井町,"1,168"
千葉県,329 栄町,817
千葉県,342 神崎町,297
千葉県,347 多古町,600
千葉県,349 東庄町,706
千葉県,403 九十九里町,709
千葉県,409 芝山町,356
千葉県,410 横芝光町,"1,185"
千葉県,421 一宮町,630
千葉県,422 睦沢町,274
千葉県,423 長生村,709
千葉県,424 白子町,468
千葉県,426 長柄町,294
千葉県,427 長南町,324
千葉県,441 大多喜町,394
千葉県,443 御宿町,267
千葉県,463 鋸南町,289
東京都,101 千代田区,"4,305"
東京都,102 中央区,"4,914"
東京都,103 港区,"7,950"
東京都,104 新宿区,"8,798"
東京都,105 文京区,"9,861"
東京都,106 台東区,"6,338"
東京都,107 墨田区,"9,445"
東京都,108 江東区,"21,237"
東京都,109 品川区,"13,645"
東京都,110 目黒区,"9,287"
東京都,111 大田区,"28,800"
東京都,112 世田谷区,"36,330"
東京都,113 渋谷区,"7,397"
東京都,114 中野区,"9,393"
東京都,115 杉並区,"19,130"
東京都,116 豊島区,"8,539"
東京都,117 北区,"12,803"
東京都,118 荒川区,"8,188"
東京都,119 板橋区,"22,309"
東京都,120 練馬区,"33,562"
東京都,121 足立区,"31,264"
東京都,122 葛飾区,"20,009"
東京都,123 江戸川区,"35,949"
東京都,201 八王子市,"28,660"
東京都,202 立川市,"8,620"
東京都,203 武蔵野市,"6,737"
東京都,204 三鷹市,"8,289"
東京都,205 青梅市,"7,001"
東京都,206 府中市,"13,977"
東京都,207 昭島市,"5,827"
東京都,208 調布市,"10,993"
東京都,209 町田市,"24,773"
東京都,210 小金井市,"5,661"
東京都,211 小平市,"9,667"
東京都,212 日野市,"9,247"
東京都,213 東村山市,"7,490"
東京都,214 国分寺市,"5,894"
東京都,215 国立市,"4,642"
東京都,218 福生市,"2,542"
東京都,219 狛江市,"3,158"
東京都,220 東大和市,"4,481"
東京都,221 清瀬市,"4,181"
東京都,222 東久留米市,"5,816"
東京都,223 武蔵村山市,"4,571"
東京都,224 多摩市,"7,156"
東京都,225 稲城市,"5,289"
東京都,227 羽村市,"3,100"
東京都,228 あきる野市,"4,734"
東京都,229 西東京市,"9,260"
東京都,303 瑞穂町,"1,891"
東京都,305 日の出町,857
東京都,307 檜原村,66
東京都,308 奥多摩町,170
東京都,361 大島町,362
東京都,362 利島村,21
東京都,363 新島村,155
東京都,364 神津島村,124
東京都,381 三宅村,81
東京都,382 御蔵島村,12
東京都,401 八丈町,396
東京都,402 青ヶ島村,14
東京都,421 小笠原村,167
神奈川県,101 横浜市鶴見区,"13,936"
神奈川県,102 横浜市神奈川区,"10,257"
神奈川県,103 横浜市西区,"3,480"
神奈川県,104 横浜市中区,"5,941"
神奈川県,105 横浜市南区,"8,905"
神奈川県,106 横浜市保土ケ谷区,"9,534"
神奈川県,107 横浜市磯子区,"7,223"
神奈川県,108 横浜市金沢区,"10,903"
神奈川県,109 横浜市港北区,"15,722"
神奈川県,110 横浜市戸塚区,"14,789"
神奈川県,111 横浜市港南区,"10,895"
神奈川県,112 横浜市旭区,"12,658"
神奈川県,113 横浜市緑区,"11,066"
神奈川県,114 横浜市瀬谷区,"7,284"
神奈川県,115 横浜市栄区,"6,922"
神奈川県,116 横浜市泉区,"8,276"
神奈川県,117 横浜市青葉区,"18,102"
神奈川県,118 横浜市都筑区,"14,938"
神奈川県,131 川崎市川崎区,"10,061"
神奈川県,132 川崎市幸区,"7,318"
神奈川県,133 川崎市中原区,"11,757"
神奈川県,134川崎市 高津区,"11,925"
神奈川県,135 川崎市多摩区,"9,271"
神奈川県,136 川崎市宮前区,"12,063"
神奈川県,137 川崎市麻生区,"9,803"
神奈川県,151 相模原市緑区,"9,715"
神奈川県,152 相模原市中央区,"13,524"
神奈川県,153 相模原市南区,"13,784"
神奈川県,201 横須賀市,"20,802"
神奈川県,203 平塚市,"13,809"
神奈川県,204 鎌倉市,"9,900"
神奈川県,205 藤沢市,"24,189"
神奈川県,206 小田原市,"9,866"
神奈川県,207 茅ヶ崎市,"13,221"
神奈川県,208 逗子市,"2,867"
神奈川県,210 三浦市,"2,014"
神奈川県,211 秦野市,"8,457"
神奈川県,212 厚木市,"12,318"
神奈川県,213 大和市,"11,805"
神奈川県,214 伊勢原市,"5,297"
神奈川県,215 海老名市,"7,465"
神奈川県,216 座間市,"6,373"
神奈川県,217 南足柄市,"2,358"
神奈川県,218 綾瀬市,"4,916"
神奈川県,301 葉山町,"1,796"
神奈川県,321 寒川町,"2,686"
神奈川県,341 大磯町,"1,642"
神奈川県,342 二宮町,"1,379"
神奈川県,361 中井町,515
神奈川県,362 大井町,"1,142"
神奈川県,363 松田町,485
神奈川県,364 山北町,463
神奈川県,366 開成町,"1,112"
神奈川県,382 箱根町,620
神奈川県,383 真鶴町,262
神奈川県,384 湯河原町,"1,088"
神奈川県,401 愛川町,"2,234"
神奈川県,402 清川村,147
新潟県,101 新潟市北区,"4,019"
新潟県,102 新潟市東区,"7,090"
新潟県,103 新潟市中央区,"8,749"
新潟県,104 新潟市江南区,"3,834"
新潟県,105 新潟市秋葉区,"4,222"
新潟県,106 新潟市南区,"2,264"
新潟県,107 新潟市西区,"8,053"
新潟県,108 新潟市西蒲区,"2,901"
新潟県,202 長岡市,"14,742"
新潟県,204 三条市,"5,242"
新潟県,205 柏崎市,"4,339"
新潟県,206 新発田市,"4,968"
新潟県,208 小千谷市,"1,906"
新潟県,209 加茂市,"1,317"
新潟県,210 十日町市,"2,808"
新潟県,211 見附市,"2,066"
新潟県,212 村上市,"3,042"
新潟県,213 燕市,"4,245"
新潟県,216 糸魚川市,"2,141"
新潟県,217 妙高市,"1,675"
新潟県,218 五泉市,"2,641"
新潟県,222 上越市,"10,822"
新潟県,223 阿賀野市,"2,249"
新潟県,224 佐渡市,"2,580"
新潟県,225 魚沼市,"1,977"
新潟県,226 南魚沼市,"3,133"
新潟県,227 胎内市,"1,477"
新潟県,307 聖籠町,839
新潟県,342 弥彦村,506
新潟県,361 田上町,578
新潟県,385 阿賀町,485
