都道府県,市区町村名,人数
千葉県,千葉市花見川区,7456
千葉県,千葉市稲毛区,8384
千葉県,千葉市若葉区,5686
千葉県,千葉市緑区,7243
千葉県,千葉市美浜区,7703
千葉県,銚子市,1603
千葉県,市川市,23170
千葉県,船橋市,32354
千葉県,館山市,1598
千葉県,木更津市,7274
千葉県,松戸市,22648
千葉県,野田市,6766
千葉県,茂原市,3425
千葉県,成田市,6004
千葉県,佐倉市,7508
千葉県,東金市,2380
千葉県,旭市,2782
千葉県,習志野市,8895
千葉県,柏市,22125
千葉県,勝浦市,430
千葉県,市原市,11884
千葉県,流山市,14205
千葉県,八千代市,9792
千葉県,我孫子市,5457
千葉県,鴨川市,1029
千葉県,鎌ケ谷市,4880
千葉県,君津市,3294
千葉県,富津市,1413
千葉県,浦安市,8202
千葉県,四街道市,5288
千葉県,袖ケ浦市,3762
千葉県,八街市,2316
千葉県,印西市,7808
千葉県,白井市,3267
千葉県,富里市,2026
千葉県,南房総市,1180
千葉県,匝瑳市,1361
千葉県,香取市,2521
千葉県,山武市,1661
千葉県,いすみ市,1266
千葉県,大網白里市,1991
千葉県,酒々井町,730
千葉県,栄町,668
千葉県,神崎町,207
千葉県,多古町,503
千葉県,東庄町,471
千葉県,九十九里町,418
千葉県,芝山町,254
千葉県,横芝光町,924
千葉県,一宮町,631
千葉県,睦沢町,271
千葉県,長生村,494
千葉県,白子町,389
千葉県,長柄町,183
千葉県,長南町,231
千葉県,大多喜町,281
千葉県,御宿町,181
千葉県,鋸南町,193
東京都,千代田区,5235
東京都,中央区,9365
東京都,港区,12033
東京都,新宿区,10928
東京都,文京区,13681
東京都,台東区,7087
東京都,墨田区,10473
東京都,江東区,24584
東京都,品川区,14583
東京都,目黒区,11062
東京都,大田区,29984
東京都,世田谷区,42583
東京都,渋谷区,9623
東京都,中野区,11844
東京都,杉並区,23381
東京都,豊島区,10489
東京都,北区,14498
東京都,荒川区,8963
東京都,板橋区,24164
東京都,練馬区,34220
東京都,足立区,29127
東京都,葛飾区,20289
東京都,江戸川区,32110
東京都,八王子市,23656
東京都,立川市,8767
東京都,武蔵野市,8102
東京都,三鷹市,9874
東京都,青梅市,5216
東京都,府中市,13860
東京都,昭島市,5816
東京都,調布市,12567
東京都,町田市,21436
東京都,小金井市,6881
東京都,小平市,10874
東京都,日野市,9309
東京都,東村山市,6828
東京都,国分寺市,6938
東京都,国立市,4552
東京都,福生市,2131
東京都,狛江市,3927
東京都,東大和市,4223
東京都,清瀬市,3626
東京都,東久留米市,5936
東京都,武蔵村山市,3632
東京都,多摩市,6800
東京都,稲城市,5445
東京都,羽村市,2464
東京都,あきる野市,3885
東京都,西東京市,9928
東京都,瑞穂町,1421
東京都,日の出町,943
東京都,檜原村,59
東京都,奥多摩町,141
東京都,大島町,290
東京都,利島村,－
東京都,新島村,98
東京都,神津島村,106
東京都,三宅村,96
東京都,御蔵島村,29
東京都,八丈町,318
東京都,青ヶ島村,6
東京都,小笠原村,138
神奈川県,横浜市鶴見区,14431
神奈川県,横浜市神奈川区,10923
神奈川県,横浜市西区,4121
神奈川県,横浜市中区,5476
神奈川県,横浜市南区,8458
神奈川県,横浜市保土ケ谷区,8746
神奈川県,横浜市磯子区,7700
神奈川県,横浜市金沢区,8219
神奈川県,横浜市港北区,17522
神奈川県,横浜市戸塚区,13817
神奈川県,横浜市港南区,9141
神奈川県,横浜市旭区,11082
神奈川県,横浜市緑区,9270
神奈川県,横浜市瀬谷区,5370
神奈川県,横浜市栄区,5390
神奈川県,横浜市泉区,6159
神奈川県,横浜市青葉区,16177
神奈川県,横浜市都筑区,12494
神奈川県,川崎市川崎区,9605
神奈川県,川崎市幸区,8596
神奈川県,川崎市中原区,13383
神奈川県,川崎市高津区,12101
神奈川県,川崎市多摩区,8966
神奈川県,川崎市宮前区,12404
神奈川県,川崎市麻生区,9431
神奈川県,相模原市緑区,8285
神奈川県,相模原市中央区,12153
神奈川県,相模原市南区,12749
神奈川県,横須賀市,15831
神奈川県,平塚市,11611
神奈川県,鎌倉市,8919
神奈川県,藤沢市,24346
神奈川県,小田原市,8138
神奈川県,茅ヶ崎市,12769
神奈川県,逗子市,2658
神奈川県,三浦市,1312
神奈川県,秦野市,7021
神奈川県,厚木市,10244
神奈川県,大和市,11869
神奈川県,伊勢原市,4574
神奈川県,海老名市,7092
神奈川県,座間市,5933
神奈川県,南足柄市,1746
神奈川県,綾瀬市,4324
神奈川県,葉山町,1751
神奈川県,寒川町,2578
神奈川県,大磯町,1520
神奈川県,二宮町,1135
神奈川県,中井町,305
神奈川県,大井町,744
神奈川県,松田町,413
神奈川県,山北町,342
神奈川県,開成町,1150
神奈川県,箱根町,275
神奈川県,真鶴町,196
神奈川県,湯河原町,618
神奈川県,愛川町,1638
神奈川県,清川村,107
新潟県,新潟市北区,3274
新潟県,新潟市東区,6038
新潟県,新潟市中央区,8053
新潟県,新潟市江南区,3500
新潟県,新潟市秋葉区,3637
新潟県,新潟市南区,2037
新潟県,新潟市西区,7618
新潟県,新潟市西蒲区,2287
新潟県,長岡市,12108
新潟県,三条市,3624
新潟県,柏崎市,3198
新潟県,新発田市,4435
新潟県,小千谷市,1377
新潟県,加茂市,887
新潟県,十日町市,1992
新潟県,見附市,1838
新潟県,村上市,2123
新潟県,燕市,3448
新潟県,糸魚川市,1469
新潟県,妙高市,1268
新潟県,五泉市,1893
新潟県,上越市,8501
新潟県,阿賀野市,1752
新潟県,佐渡市,1945
新潟県,魚沼市,1347
新潟県,南魚沼市,2546
新潟県,胎内市,1210
新潟県,聖籠町,879
新潟県,弥彦村,339
新潟県,田上町,412
新潟県,阿賀町,221
新潟県,出雲崎町,148
新潟県,湯沢町,261
新潟県,津南町,353
新潟県,刈羽村,223
新潟県,関川村,174
新潟県,粟島浦村,11
富山県,富山市,18868
富山県,高岡市,6903
富山県,魚津市,1539
富山県,氷見市,1454
富山県,滑川市,1618
富山県,黒部市,1823
富山県,砺波市,2220
富山県,小矢部市,1132
富山県,南砺市,1863
富山県,射水市,4610
富山県,舟橋村,194
富山県,上市町,713
富山県,立山町,1068
富山県,入善町,837
富山県,朝日町,354
石川県,金沢市,22591
石川県,七尾市,1816
石川県,小松市,5375
石川県,輪島市,403
石川県,珠洲市,209
石川県,加賀市,2596
石川県,羽咋市,757
石川県,かほく市,1993
石川県,白山市,6092
石川県,能美市,2696
石川県,野々市市,3255
石川県,川北町,403
石川県,津幡町,2023
石川県,内灘町,1402
石川県,志賀町,590
石川県,宝達志水町,411
石川県,中能登町,774
石川県,穴水町,173
石川県,能登町,394
福井県,福井市,12451
福井県,敦賀市,3174
福井県,小浜市,1413
福井県,大野市,1336
福井県,勝山市,955
福井県,鯖江市,3716
福井県,あわら市,1168
福井県,越前市,3939
福井県,坂井市,4540
福井県,永平寺町,784
福井県,池田町,69
福井県,南越前町,428
福井県,越前町,883
福井県,美浜町,367
福井県,高浜町,457
福井県,おおい町,413
福井県,若狭町,662
山梨県,甲府市,8814
山梨県,富士吉田市,2079
山梨県,都留市,1195
山梨県,山梨市,1457
山梨県,大月市,613
山梨県,韮崎市,1119
山梨県,南アルプス市,3722
山梨県,北杜市,1732
山梨県,甲斐市,3925
山梨県,笛吹市,3037
山梨県,上野原市,692
山梨県,甲州市,1230
山梨県,中央市,1480
山梨県,市川三郷町,600
山梨県,早川町,27
山梨県,身延町,235
山梨県,南部町,209
山梨県,富士川町,557
山梨県,昭和町,1325
山梨県,道志村,52
山梨県,西桂町,192
山梨県,忍野村,573
山梨県,山中湖村,234
山梨県,鳴沢村,139
山梨県,富士河口湖町,1501
山梨県,小菅村,20
山梨県,丹波山村,15
長野県,長野市,17387
長野県,松本市,11885
長野県,上田市,7279
長野県,岡谷市,1981
長野県,飯田市,4741
長野県,諏訪市,2201
長野県,須坂市,2350
長野県,小諸市,1855
長野県,伊那市,3345
長野県,駒ヶ根市,1498
長野県,中野市,2088
長野県,大町市,835
長野県,飯山市,745
長野県,茅野市,2769
長野県,塩尻市,3114
長野県,佐久市,5113
長野県,千曲市,2820
長野県,東御市,1415
長野県,安曇野市,4607
長野県,小海町,142
長野県,川上村,182
長野県,南牧村,115
長野県,南相木村,55
長野県,北相木村,49
長野県,佐久穂町,624
長野県,軽井沢町,1008
長野県,御代田町,838
長野県,立科町,252
長野県,青木村,177
長野県,長和町,196
長野県,下諏訪町,764
長野県,富士見町,672
長野県,原村,412
長野県,辰野町,823
長野県,箕輪町,1169
長野県,飯島町,415
長野県,南箕輪村,1039
長野県,中川村,234
長野県,宮田村,465
長野県,松川町,630
長野県,高森町,698
長野県,阿南町,153
長野県,阿智村,329
長野県,平谷村,17
長野県,根羽村,－
長野県,下條村,164
長野県,売木村,18
長野県,天龍村,33
長野県,泰阜村,72
長野県,喬木村,302
長野県,豊丘村,335
長野県,大鹿村,42
長野県,上松町,148
長野県,南木曽町,138
長野県,木祖村,95
長野県,王滝村,11
長野県,大桑村,105
長野県,木曽町,346
長野県,麻績村,94
長野県,生坂村,65
長野県,山形村,442
長野県,朝日村,204
長野県,筑北村,120
長野県,池田町,388
長野県,松川村,435
長野県,白馬村,362
長野県,小谷村,98
長野県,坂城町,566
長野県,小布施町,572
長野県,高山村,253
長野県,山ノ内町,379
長野県,木島平村,209
長野県,野沢温泉村,140
長野県,信濃町,－
長野県,小川村,69
長野県,飯綱町,415
長野県,栄村,44
岐阜県,岐阜市,18985
岐阜県,大垣市,7723
岐阜県,高山市,4005
岐阜県,多治見市,4761
岐阜県,関市,3998
岐阜県,中津川市,3551
岐阜県,美濃市,805
岐阜県,瑞浪市,1632
岐阜県,羽島市,3308
岐阜県,恵那市,2119
岐阜県,美濃加茂市,3543
岐阜県,土岐市,2496
岐阜県,各務原市,7443
岐阜県,可児市,5363
岐阜県,山県市,1008
岐阜県,瑞穂市,3334
岐阜県,飛騨市,953
岐阜県,本巣市,1572
岐阜県,郡上市,1800
岐阜県,下呂市,1174
岐阜県,海津市,1186
岐阜県,岐南町,1431
岐阜県,笠松町,1028
岐阜県,養老町,1028
岐阜県,垂井町,1181
岐阜県,関ケ原町,195
岐阜県,神戸町,842
岐阜県,輪之内町,452
岐阜県,安八町,744
岐阜県,揖斐川町,651
岐阜県,大野町,1096
岐阜県,池田町,1207
岐阜県,北方町,－
岐阜県,坂祝町,453
岐阜県,富加町,347
岐阜県,川辺町,519
岐阜県,七宗町,103
岐阜県,八百津町,419
岐阜県,白川町,209
岐阜県,東白川村,69
岐阜県,御嵩町,875
岐阜県,白川村,－
静岡県,静岡市葵区,11861
静岡県,静岡市駿河区,8914
静岡県,静岡市清水区,9776
静岡県,浜松市中央区,29061
静岡県,浜松市浜名区,10132
静岡県,浜松市天竜区,797
静岡県,沼津市,7719
静岡県,熱海市,715
静岡県,三島市,5024
静岡県,富士宮市,6040
静岡県,伊東市,2015
静岡県,島田市,4795
静岡県,富士市,12010
静岡県,磐田市,8524
静岡県,焼津市,6266
静岡県,掛川市,6289
静岡県,藤枝市,7168
静岡県,御殿場市,4128
静岡県,袋井市,4922
静岡県,下田市,641
静岡県,裾野市,2468
静岡県,湖西市,2672
静岡県,伊豆市,835
静岡県,御前崎市,1426
静岡県,菊川市,2557
静岡県,伊豆の国市,2124
静岡県,牧之原市,1990
静岡県,東伊豆町,294
静岡県,河津町,233
静岡県,南伊豆町,227
静岡県,松崎町,162
静岡県,西伊豆町,129
静岡県,函南町,1721
静岡県,清水町,1562
静岡県,長泉町,2604
静岡県,小山町,863
静岡県,吉田町,1353
静岡県,川根本町,－
静岡県,森町,803
愛知県,名古屋市千種区,7834
愛知県,名古屋市東区,4494
愛知県,名古屋市北区,6521
愛知県,名古屋市西区,6541
愛知県,名古屋市中村区,4894
愛知県,名古屋市中区,2216
愛知県,名古屋市昭和区,5860
愛知県,名古屋市瑞穂区,5685
愛知県,名古屋市熱田区,2742
愛知県,名古屋市中川区,9655
愛知県,名古屋市港区,5901
愛知県,名古屋市南区,5611
愛知県,名古屋市守山区,10395
愛知県,名古屋市緑区,15091
愛知県,名古屋市名東区,9074
愛知県,名古屋市天白区,7993
愛知県,豊橋市,19092
愛知県,岡崎市,21624
愛知県,一宮市,19263
愛知県,瀬戸市,6553
愛知県,半田市,5892
愛知県,春日井市,16083
愛知県,豊川市,9948
愛知県,津島市,2414
愛知県,碧南市,3918
愛知県,刈谷市,8616
愛知県,豊田市,21842
愛知県,安城市,10790
愛知県,西尾市,9527
愛知県,蒲郡市,3666
愛知県,犬山市,3292
愛知県,常滑市,3522
愛知県,江南市,4950
愛知県,小牧市,7472
愛知県,稲沢市,6789
愛知県,新城市,1881
愛知県,東海市,6616
愛知県,大府市,5724
愛知県,知多市,4159
愛知県,知立市,3817
愛知県,尾張旭市,4602
愛知県,高浜市,2894
愛知県,岩倉市,2290
愛知県,豊明市,3419
愛知県,日進市,6192
愛知県,田原市,3034
愛知県,愛西市,2690
愛知県,清須市,3961
愛知県,北名古屋市,4784
愛知県,弥富市,2054
愛知県,みよし市,3651
愛知県,あま市,4678
愛知県,長久手市,4464
愛知県,東郷町,2634
愛知県,豊山町,953
愛知県,大口町,1512
愛知県,扶桑町,1906
愛知県,大治町,2066
