市区町村名,人数
千葉県東金市,2431.0
千葉県旭市,2838.0
千葉県習志野市,9060.0
千葉県柏市,21948.0
千葉県勝浦市,438.0
千葉県市原市,12309.0
千葉県流山市,13814.0
千葉県八千代市,9945.0
千葉県我孫子市,5561.0
千葉県鴨川市,1120.0
千葉県鎌ケ谷市,5034.0
千葉県君津市,3350.0
千葉県富津市,1482.0
千葉県浦安市,8296.0
千葉県四街道市,5329.0
千葉県袖ケ浦市,3655.0
千葉県八街市,2419.0
千葉県印西市,7565.0
千葉県白井市,3451.0
千葉県富里市,2079.0
千葉県南房総市,1237.0
千葉県匝瑳市,1438.0
千葉県香取市,2620.0
千葉県山武市,1744.0
千葉県いすみ市,1320.0
千葉県大網白里市,2073.0
千葉県酒々井町,754.0
千葉県栄町,680.0
千葉県神崎町,200.0
千葉県多古町,506.0
千葉県東庄町,495.0
千葉県九十九里町,450.0
千葉県芝山町,265.0
千葉県横芝光町,961.0
千葉県一宮町,630.0
千葉県睦沢町,278.0
千葉県長生村,532.0
千葉県白子町,395.0
千葉県長柄町,194.0
千葉県長南町,226.0
千葉県大多喜町,296.0
千葉県御宿町,199.0
千葉県鋸南町,188.0
東京都千代田区,5205.0
東京都中央区,8796.0
東京都港区,11878.0
東京都新宿区,10805.0
東京都文京区,13448.0
東京都台東区,7078.0
東京都墨田区,10404.0
東京都江東区,24665.0
東京都品川区,14459.0
東京都目黒区,11091.0
東京都大田区,30197.0
東京都世田谷区,42971.0
東京都渋谷区,9567.0
東京都中野区,11693.0
東京都杉並区,23237.0
東京都豊島区,10460.0
東京都北区,14991.0
東京都荒川区,9072.0
東京都板橋区,24302.0
東京都練馬区,34204.0
東京都足立区,29727.0
東京都葛飾区,20351.0
東京都江戸川区,32683.0
東京都八王子市,24288.0
東京都立川市,8725.0
東京都武蔵野市,8173.0
東京都三鷹市,9879.0
東京都青梅市,5367.0
東京都府中市,14012.0
東京都昭島市,5879.0
東京都調布市,12487.0
東京都町田市,21692.0
東京都小金井市,6751.0
東京都小平市,11020.0
東京都日野市,9376.0
東京都東村山市,6941.0
東京都国分寺市,6802.0
東京都国立市,4577.0
東京都福生市,2220.0
東京都狛江市,3924.0
東京都東大和市,4262.0
