都道府県,市区町村名,人数,団体コード
栃木県,栃木市,6907,92037
栃木県,佐野市,4349,92045
栃木県,鹿沼市,4300,92053
栃木県,日光市,2822,92061
栃木県,小山市,8112,92088
栃木県,真岡市,4021,92096
栃木県,大田原市,3255,92100
栃木県,矢板市,1249,92118
栃木県,那須塩原市,5624,92134
栃木県,さくら市,2446,92142
栃木県,那須烏山市,904,92151
栃木県,下野市,2410,92169
栃木県,上三川町,1577,93017
栃木県,益子町,987,93424
栃木県,茂木町,368,93432
栃木県,市貝町,479,93441
栃木県,芳賀町,808,93459
栃木県,壬生町,1847,93611
栃木県,野木町,1180,93645
栃木県,塩谷町,319,93840
栃木県,高根沢町,1311,93866
栃木県,那須町,840,94072
栃木県,那珂川町,457,94111
群馬県,前橋市,15795,102016
群馬県,高崎市,17909,102024
群馬県,桐生市,3638,102032
群馬県,伊勢崎市,10402,102041
群馬県,太田市,11375,102059
群馬県,沼田市,1787,102067
群馬県,館林市,3205,102075
群馬県,渋川市,2873,102083
群馬県,藤岡市,2489,102091
群馬県,富岡市,1942,102105
群馬県,安中市,2069,102113
群馬県,みどり市,2299,102121
群馬県,榛東村,803,103446
群馬県,吉岡町,1428,103454
群馬県,上野村,57,103667
群馬県,神流町,20,103675
群馬県,下仁田町,122,103829
群馬県,南牧村,－,103837
群馬県,甘楽町,525,103845
群馬県,中之条町,481,104213
群馬県,長野原町,152,104248
群馬県,嬬恋村,323,104256
群馬県,草津町,174,104264
群馬県,高山村,121,104281
群馬県,東吾妻町,397,104299
群馬県,片品村,103,104434
群馬県,川場村,141,104442
群馬県,昭和村,305,104485
群馬県,みなかみ町,595,104493
群馬県,玉村町,1739,104647
群馬県,板倉町,493,105210
群馬県,明和町,485,105228
群馬県,千代田町,490,105236
群馬県,大泉町,1929,105244
群馬県,邑楽町,1090,105252
埼玉県,さいたま市西区,4854,111015
埼玉県,さいたま市北区,7755,111023
埼玉県,さいたま市大宮区,6709,111031
埼玉県,さいたま市見沼区,7259,111040
埼玉県,さいたま市中央区,4879,111058
埼玉県,さいたま市桜区,3996,111066
埼玉県,さいたま市浦和区,10923,111074
埼玉県,さいたま市南区,10158,111082
埼玉県,さいたま市緑区,9330,111091
埼玉県,さいたま市岩槻区,4970,111104
埼玉県,川越市,17320,112011
埼玉県,熊谷市,8536,112020
埼玉県,川口市,28661,112038
埼玉県,行田市,3218,112062
埼玉県,秩父市,2546,112071
埼玉県,所沢市,15880,112089
埼玉県,飯能市,3450,112097
埼玉県,加須市,4906,112101
埼玉県,本庄市,3548,112119
埼玉県,東松山市,4382,112127
埼玉県,春日部市,9411,112143
埼玉県,狭山市,6420,112151
埼玉県,羽生市,2297,112160
埼玉県,鴻巣市,5340,112178
埼玉県,深谷市,6592,112186
埼玉県,上尾市,10786,112194
埼玉県,草加市,11269,112216
埼玉県,越谷市,17236,112224
埼玉県,蕨市,3215,112232
埼玉県,戸田市,7888,112241
埼玉県,入間市,6456,112259
埼玉県,朝霞市,7712,112275
埼玉県,志木市,4147,112283
埼玉県,和光市,4350,112291
埼玉県,新座市,8459,112305
埼玉県,桶川市,3430,112313
埼玉県,久喜市,6655,112321
埼玉県,北本市,2560,112330
埼玉県,八潮市,4223,112348
埼玉県,富士見市,5648,112356
埼玉県,三郷市,7447,112372
埼玉県,蓮田市,2673,112381
埼玉県,坂戸市,4470,112399
埼玉県,幸手市,1890,112402
埼玉県,鶴ヶ島市,2968,112411
埼玉県,日高市,1962,112429
埼玉県,吉川市,4015,112437
埼玉県,ふじみ野市,5972,112453
埼玉県,白岡市,2676,112461
埼玉県,伊奈町,2307,113018
埼玉県,三芳町,1792,113247
埼玉県,毛呂山町,1081,113263
埼玉県,越生町,353,113271
埼玉県,滑川町,1276,113417
埼玉県,嵐山町,683,113425
埼玉県,小川町,855,113433
埼玉県,川島町,672,113468
埼玉県,吉見町,599,113476
埼玉県,鳩山町,405,113484
埼玉県,ときがわ町,360,113492
埼玉県,横瀬町,307,113611
埼玉県,皆野町,344,113620
埼玉県,長瀞町,247,113638
埼玉県,小鹿野町,324,113654
埼玉県,東秩父村,59,113697
埼玉県,美里町,474,113816
埼玉県,神川町,522,113832
埼玉県,上里町,1348,113859
埼玉県,寄居町,1237,114081
埼玉県,宮代町,1578,114421
埼玉県,杉戸町,1798,114642
埼玉県,松伏町,1200,114651
千葉県,千葉市中央区,8633,121011
千葉県,千葉市花見川区,7456,121029
千葉県,千葉市稲毛区,8384,121037
千葉県,千葉市若葉区,5686,121045
千葉県,千葉市緑区,7243,121053
千葉県,千葉市美浜区,7703,121061
千葉県,銚子市,1603,122025
千葉県,市川市,23170,122033
千葉県,船橋市,32354,122041
千葉県,館山市,1598,122050
千葉県,木更津市,7274,122068
千葉県,松戸市,22648,122076
千葉県,野田市,6766,122084
千葉県,茂原市,3425,122106
千葉県,成田市,6004,122114
千葉県,佐倉市,7508,122122
千葉県,東金市,2380,122131
千葉県,旭市,2782,122157
千葉県,習志野市,8895,122165
千葉県,柏市,22125,122173
千葉県,勝浦市,430,122181
千葉県,市原市,11884,122190
千葉県,流山市,14205,122203
千葉県,八千代市,9792,122211
千葉県,我孫子市,5457,122220
千葉県,鴨川市,1029,122238
千葉県,鎌ケ谷市,4880,122246
千葉県,君津市,3294,122254
千葉県,富津市,1413,122262
千葉県,浦安市,8202,122271
千葉県,四街道市,5288,122289
千葉県,袖ケ浦市,3762,122297
千葉県,八街市,2316,122301
千葉県,印西市,7808,122319
千葉県,白井市,3267,122327
千葉県,富里市,2026,122335
千葉県,南房総市,1180,122343
千葉県,匝瑳市,1361,122351
千葉県,香取市,2521,122360
千葉県,山武市,1661,122378
千葉県,いすみ市,1266,122386
千葉県,大網白里市,1991,122394
千葉県,酒々井町,730,123226
千葉県,栄町,668,123293
千葉県,神崎町,207,123421
千葉県,多古町,503,123471
千葉県,東庄町,471,123498
千葉県,九十九里町,418,124036
千葉県,芝山町,254,124095
千葉県,横芝光町,924,124109
千葉県,一宮町,631,124214
千葉県,睦沢町,271,124222
千葉県,長生村,494,124231
千葉県,白子町,389,124249
千葉県,長柄町,183,124265
千葉県,長南町,231,124273
千葉県,大多喜町,281,124419
千葉県,御宿町,181,124435
千葉県,鋸南町,193,124630
東京都,千代田区,5235,131016
東京都,中央区,9365,131024
東京都,港区,12033,131032
東京都,新宿区,10928,131041
東京都,文京区,13681,131059
東京都,台東区,7087,131067
東京都,墨田区,10473,131075
東京都,江東区,24584,131083
東京都,品川区,14583,131091
東京都,目黒区,11062,131105
東京都,大田区,29984,131113
東京都,世田谷区,42583,131121
東京都,渋谷区,9623,131130
東京都,中野区,11844,131148
東京都,杉並区,23381,131156
東京都,豊島区,10489,131164
東京都,北区,14498,131172
東京都,荒川区,8963,131181
東京都,板橋区,24164,131199
東京都,練馬区,34220,131202
東京都,足立区,29127,131211
東京都,葛飾区,20289,131229
東京都,江戸川区,32110,131237
東京都,八王子市,23656,132012
東京都,立川市,8767,132021
東京都,武蔵野市,8102,132039
東京都,三鷹市,9874,132047
東京都,青梅市,5216,132055
東京都,府中市,13860,132063
東京都,昭島市,5816,132071
東京都,調布市,12567,132080
東京都,町田市,21436,132098
東京都,小金井市,6881,132101
東京都,小平市,10874,132110
東京都,日野市,9309,132128
東京都,東村山市,6828,132136
東京都,国分寺市,6938,132144
東京都,国立市,4552,132152
東京都,福生市,2131,132187
東京都,狛江市,3927,132195
東京都,東大和市,4223,132209
東京都,清瀬市,3626,132217
東京都,東久留米市,5936,132225
東京都,武蔵村山市,3632,132233
東京都,多摩市,6800,132241
東京都,稲城市,5445,132250
東京都,羽村市,2464,132276
東京都,あきる野市,3885,132284
東京都,西東京市,9928,132292
東京都,瑞穂町,1421,133035
東京都,日の出町,943,133051
東京都,檜原村,59,133078
東京都,奥多摩町,141,133086
東京都,大島町,290,133612
東京都,利島村,－,133621
東京都,新島村,98,133639
東京都,神津島村,106,133647
東京都,三宅村,96,133817
東京都,御蔵島村,29,133825
東京都,八丈町,318,134015
東京都,青ヶ島村,6,134023
東京都,小笠原村,138,134210
神奈川県,横浜市鶴見区,14431,141011
神奈川県,横浜市神奈川区,10923,141020
神奈川県,横浜市西区,4121,141038
神奈川県,横浜市中区,5476,141046
神奈川県,横浜市南区,8458,141054
神奈川県,横浜市保土ケ谷区,8746,141062
神奈川県,横浜市磯子区,7700,141071
神奈川県,横浜市金沢区,8219,141089
神奈川県,横浜市港北区,17522,141097
神奈川県,横浜市戸塚区,13817,141101
神奈川県,横浜市港南区,9141,141119
神奈川県,横浜市旭区,11082,141127
神奈川県,横浜市緑区,9270,141135
神奈川県,横浜市瀬谷区,5370,141143
神奈川県,横浜市栄区,5390,141151
神奈川県,横浜市泉区,6159,141160
神奈川県,横浜市青葉区,16177,141178
神奈川県,横浜市都筑区,12494,141186
神奈川県,川崎市川崎区,9605,141313
神奈川県,川崎市幸区,8596,141321
神奈川県,川崎市中原区,13383,141330
神奈川県,川崎市高津区,12101,141348
神奈川県,川崎市多摩区,8966,141356
神奈川県,川崎市宮前区,12404,141364
神奈川県,川崎市麻生区,9431,141372
神奈川県,相模原市緑区,8285,141518
神奈川県,相模原市中央区,12153,141526
神奈川県,相模原市南区,12749,141534
神奈川県,横須賀市,15831,142018
神奈川県,平塚市,11611,142034
神奈川県,鎌倉市,8919,142042
神奈川県,藤沢市,24346,142051
神奈川県,小田原市,8138,142069
神奈川県,茅ヶ崎市,12769,142077
神奈川県,逗子市,2658,142085
神奈川県,三浦市,1312,142107
神奈川県,秦野市,7021,142115
神奈川県,厚木市,10244,142123
神奈川県,大和市,11869,142131
神奈川県,伊勢原市,4574,142140
神奈川県,海老名市,7092,142158
神奈川県,座間市,5933,142166
神奈川県,南足柄市,1746,142174
神奈川県,綾瀬市,4324,142182
神奈川県,葉山町,1751,143014
神奈川県,寒川町,2578,143219
神奈川県,大磯町,1520,143413
神奈川県,二宮町,1135,143421
神奈川県,中井町,305,143618
神奈川県,大井町,744,143626
神奈川県,松田町,413,143634
神奈川県,山北町,342,143642
神奈川県,開成町,1150,143669
神奈川県,箱根町,275,143821
神奈川県,真鶴町,196,143839
神奈川県,湯河原町,618,143847
神奈川県,愛川町,1638,144011
神奈川県,清川村,107,144029
新潟県,新潟市北区,3274,151017
新潟県,新潟市東区,6038,151025
新潟県,新潟市中央区,8053,151033
新潟県,新潟市江南区,3500,151041
新潟県,新潟市秋葉区,3637,151050
新潟県,新潟市南区,2037,151068
新潟県,新潟市西区,7618,151076
新潟県,新潟市西蒲区,2287,151084
新潟県,長岡市,12108,152021
新潟県,三条市,3624,152048
新潟県,柏崎市,3198,152056
新潟県,新発田市,4435,152064
新潟県,小千谷市,1377,152081
新潟県,加茂市,887,152099
新潟県,十日町市,1992,152102
新潟県,見附市,1838,152111
新潟県,村上市,2123,152129
新潟県,燕市,3448,152137
新潟県,糸魚川市,1469,152161
新潟県,妙高市,1268,152170
新潟県,五泉市,1893,152188
新潟県,上越市,8501,152226
新潟県,阿賀野市,1752,152234
新潟県,佐渡市,1945,152242
新潟県,魚沼市,1347,152251
新潟県,南魚沼市,2546,152269
新潟県,胎内市,1210,152277
新潟県,聖籠町,879,153079
新潟県,弥彦村,339,153427
新潟県,田上町,412,153613
新潟県,阿賀町,221,153851
新潟県,出雲崎町,148,154059
新潟県,湯沢町,261,154610
新潟県,津南町,353,154822
新潟県,刈羽村,223,155047
新潟県,関川村,174,155811
新潟県,粟島浦村,11,155861
富山県,富山市,18868,162019
富山県,高岡市,6903,162027
富山県,魚津市,1539,162043
富山県,氷見市,1454,162051
富山県,滑川市,1618,162060
富山県,黒部市,1823,162078
富山県,砺波市,2220,162086
富山県,小矢部市,1132,162094
富山県,南砺市,1863,162108
富山県,射水市,4610,162116
富山県,舟橋村,194,163210
富山県,上市町,713,163228
富山県,立山町,1068,163236
富山県,入善町,837,163422
富山県,朝日町,354,163431
石川県,金沢市,22591,172014
石川県,七尾市,1816,172022
石川県,小松市,5375,172031
石川県,輪島市,403,172049
石川県,珠洲市,209,172057
石川県,加賀市,2596,172065
石川県,羽咋市,757,172073
石川県,かほく市,1993,172090
石川県,白山市,6092,172103
石川県,能美市,2696,172111
石川県,野々市市,3255,172120
石川県,川北町,403,173240
石川県,津幡町,2023,173614
石川県,内灘町,1402,173657
石川県,志賀町,590,173843
石川県,宝達志水町,411,173860
石川県,中能登町,774,174076
石川県,穴水町,173,174611
石川県,能登町,394,174637
福井県,福井市,12451,182010
福井県,敦賀市,3174,182028
福井県,小浜市,1413,182044
福井県,大野市,1336,182052
福井県,勝山市,955,182061
福井県,鯖江市,3716,182079
福井県,あわら市,1168,182087
福井県,越前市,3939,182095
福井県,坂井市,4540,182109
福井県,永平寺町,784,183229
福井県,池田町,69,183822
福井県,南越前町,428,184047
福井県,越前町,883,184233
福井県,美浜町,367,184420
福井県,高浜町,457,184811
福井県,おおい町,413,184837
福井県,若狭町,662,185019
山梨県,甲府市,8814,192015
山梨県,富士吉田市,2079,192023
山梨県,都留市,1195,192040
山梨県,山梨市,1457,192058
山梨県,大月市,613,192066
山梨県,韮崎市,1119,192074
山梨県,南アルプス市,3722,192082
山梨県,北杜市,1732,192091
山梨県,甲斐市,3925,192104
山梨県,笛吹市,3037,192112
山梨県,上野原市,692,192121
山梨県,甲州市,1230,192139
山梨県,中央市,1480,192147
山梨県,市川三郷町,600,193461
山梨県,早川町,27,193640
山梨県,身延町,235,193658
山梨県,南部町,209,193666
山梨県,富士川町,557,193682
山梨県,昭和町,1325,193844
山梨県,道志村,52,194221
山梨県,西桂町,192,194239
山梨県,忍野村,573,194247
山梨県,山中湖村,234,194255
山梨県,鳴沢村,139,194298
山梨県,富士河口湖町,1501,194301
山梨県,小菅村,20,194425
山梨県,丹波山村,15,194433
長野県,長野市,17387,202011
長野県,松本市,11885,202029
長野県,上田市,7279,202037
長野県,岡谷市,1981,202045
長野県,飯田市,4741,202053
長野県,諏訪市,2201,202061
